"9993023736", "The Armenian genocide (1st edition)", "N. O. Oganesi͡an", 13.81
"9991530169", "Underwater Bahamas (1st edition)", "Bob Friel", 22.35
"9992761008", "Fletorka e mesnates (1st edition)", "Dritëro Agolli", 17.64
"9991571914", "Divehi writing systems (1st edition)", "Naseema Mohamed", 12.48
"9992903880", "Busgaar togtnoson mongol (1st edition)", "Ėrin M. Tulgat", 112.52
"9993357006", "Nepalese culture, society, and tourism (1ste ed.)", "Diwas Dhakal", 33.93
"9992839333", "Guram Rčʻeulišvilis tʻxzulebatʻa sruli krebuli xutʻ tomad (1st edition)", "Guram Rčʻeulišvili", 113.65
"9991630384", "Water in Namibia (1st edition)", "Vivienne Ward", 41.76
"9991200134", "A Seminar on Mineral Policy in Botswana (1st edition)", "Seminar on Mineral Policy in Botswana (1988 Gaborone, Botswana)", 85.41
"9992730234", "Fjalor i estetikës (1st edition)", "Tefik Çaushi", 26.42
"9993387401", "Media crossing borders (1st edition)", "South Asia Forum for Human Rights. Regional Workshop", 35.28
"9992730498", "Remote Albania (1st edition)", "Peter R. Prifti", 78.20
"999122064X", "The Remote Area Development Programme and regional development for Africa's San population (1st edition)", "Sidsel Saugestad", 19.28
"9994280805", "Janūb al-Sūdān min al-ḥarb ilá al-silm (1st edition)", "ʻAbd Allāh ʻUbayd", 115.80
"9992565004", "Evocando sombras (1st edition)", "Guillermina Ares", 66.98
"9992769300", "Kur thinjet kujtesa (1st edition)", "Spiro Mëhilli", 47.95
"9992442069", "Monumentum aere perennius (1. ed.)", "Francisco Arellano Oviedo", 12.68
"9991896309", "Gutthús (1st edition)", "Oluf Djurhuus", 42.05
"9994335014", "Profil në dy pamje (1st edition)", "Vath Koreshi", 25.45
"9992886692", "Mtʻis cqaro (1st edition)", "Važa-Pʻšavela", 83.95
"9993340316", "Birsidine paramparā (Saṃskaraṇa 1.)", "Ravilāla Adhikārī", 101.50
"9992718080", "Julia (1st edition)", "Violeta Allmuc̦a", 17.28
"9992301473", "Certeza de la duda (1997-2002) (1a ed.)", "Alfonso Kijadurías", 42.71
"9992888350", "Kartʻuli zmnis uġlebis sistema (1st edition)", "D. Melikʻišvili", 117.40
"9993022624", "Jrashushan (1st edition)", "Huri Sahakyan", 119.95
"9994280341", "Ḥarakah al-shaʻbīyah (880-03 al-Ṭabʻah 1.)", "Mūsá Yaʻqūb", 20.40
"9992921064", "Mongol gėriĭn ës, ulamzhlal (1st edition)", "Tȯmȯr-Ochiryn Namzhil", 108.99
"9991754571", "Ambuyat man (1st edition)", "Nu'urul H. B.", 46.24
"9993618047", "Report on the proceedings of the 5th Annual Audit Conference (1st edition)", "Bhutan. Rgyal gźuṅ rtsis źib dbaṅ ʼdzin. Audit Conference", 61.37
"9992200871", "David Vela (1 ed.)", "Francisco Albizúrez Palma", 30.63
"9991400370", "Diplomatie en internationaal recht (1st edition)", "S. E. Werners", 112.33
"9995210096", "Crime en mode majeur (1st edition)", "Facoh Donki Diarra", 10.45
"9993073415", "Herosnern anmah en (1st edition)", "Suren Minasyan", 65.88
"9994134787", "Hogu nerkayatsʻum (1st edition)", "Lilitʻ.", 38.09
"9991712216", "Masyarakat peribumi cemerlang (Cet. 1.)", "Seminar Serantau Masyarakat Peribumi Cemerlang (2007 Bandar Seri Begawan?, Brunei)", 88.97
"9992244003", "Incidents in the life of Maya archaeologist as told to Winifred Veronda (1. ed.)", "Edwin M. Shook", 65.25
"9993837253", "Dan sedmi (1st edition)", "Đuro Vujasin", 80.78
"9994130226", "Hayastaně ev Balkanyan tʻerakghzu petutʻyunnerě aṛajin ashkharhamarti tarinerin (1st edition)", "Ṛuben Adamyan", 35.04
"9994664468", "Syamukapu (1st edition)", "D. S. Kansakar Hilker", 64.47
"9994732161", "Joĭgoḣi sukhan (1st edition)", "Misboḣiddini Narziqul", 84.80
"9994363271", "Arsimi në udhëkryq (1st edition)", "Bexhet Arbana", 79.84
"9992870214", "Kanoni (1st edition)", "Nikoloz Rurua", 44.09
"9992710659", "Kodi civil i vitit 1929 (1st edition)", "Albania.", 107.29
"9992630574", "La política del estado mexicano en los procesos agrícolas y agrarios de los totonacos (1. ed.)", "Ramón Ramírez M.", 83.00
"9992907061", "Mongolyn sekheetnii uls toriin ukhamsar soyolyn tolovshliin zarim asuudal. (1st edition)", "Erkhem-Ochiryn Tamir", 14.08
"999279934X", "Gjurmë jete (1st edition)", "Hamit Beqja", 73.84
"9991604251", "Kai !hūbaib-- (1st edition)", "Tsâtago Davids", 70.97
"9994015524", "Cigni (1. gamocʻema.)", "Aka Morčʻilaże", 88.78
"9992760281", "Babai im, Enver Hoxha (1st edition)", "Ilir Hoxha", 93.91
"9992376597", "última historia del siglo (1. ed.)", "Carlos Adalberto Avilés Rivas", 47.15
"9994635190", "The Nepali Dalit social movement (1st eng. ed.)", "Yāmabahādura Kisāna", 22.13
"9993201804", "history of the Malta police, 1800-1964 (1st edition)", "Edward Attard", 104.92
"9991400532", "Protocol for visiting the Bushnegroes of Suriname's rain forest (1st edition)", "Cheryl E. Saunders-Williams", 87.01
"999295101X", "Mongol khėlniĭ u̇gu̇u̇lbėrzu̇ĭn asuudluud (Ankhdugaar khėvlėl.)", "Sh Luvsanvandan", 74.18
